game_id,date,player_id,player_name,player_team,against,starter,min,pts
202212199.0,2022-12-19,1367.0,Mason Plumlee,CHA,SAC,1.0,25.13333333333333,15.0
202212199.0,2022-12-19,,Théo Maledon,CHA,SAC,0.0,26.066666666666666,12.0
202212199.0,2022-12-19,1308.0,Jalen McDaniels,CHA,SAC,0.0,25.83333333333333,6.0
202212199.0,2022-12-19,1392.0,Nick Richards,CHA,SAC,0.0,22.86666666666667,14.0
202212199.0,2022-12-19,1446.0,JT Thor,CHA,SAC,0.0,8.4,2.0
202212199.0,2022-12-19,1408.0,Domantas Sabonis,SAC,CHA,0.0,40.73333333333333,28.0
202212199.0,2022-12-19,1145.0,De'Aaron Fox,SAC,CHA,0.0,33.71666666666667,37.0
202212199.0,2022-12-19,1214.0,Kevin Huerter,SAC,CHA,0.0,31.78333333333333,9.0
202212199.0,2022-12-19,1335.0,Keegan Murray,SAC,CHA,0.0,31.03333333333333,11.0
202212199.0,2022-12-19,1029.0,Harrison Barnes,SAC,CHA,0.0,29.48333333333333,11.0
202212199.0,2022-12-19,1325.0,Malik Monk,SAC,CHA,0.0,24.85,12.0
202212199.0,2022-12-19,1320.0,Davion Mitchell,SAC,CHA,0.0,21.066666666666666,7.0
202212199.0,2022-12-19,1106.0,Terence Davis,SAC,CHA,0.0,14.716666666666667,2.0
202212199.0,2022-12-19,1384.0,Neemias Queta,SAC,CHA,0.0,7.2666666666666675,2.0
202212199.0,2022-12-19,1288.0,Trey Lyles,SAC,CHA,0.0,5.333333333333333,0.0
202212201.0,2022-12-20,1328.0,Ja Morant,MEM,DEN,1.0,38.06666666666667,35.0
202212201.0,2022-12-20,1001.0,Steven Adams,MEM,DEN,1.0,30.08333333333333,4.0
202212201.0,2022-12-20,1061.0,Dillon Brooks,MEM,DEN,1.0,29.4,11.0
202212201.0,2022-12-20,1227.0,Jaren Jackson Jr.,MEM,DEN,1.0,21.75,8.0
202212201.0,2022-12-20,1260.0,John Konchar,MEM,DEN,1.0,15.566666666666665,0.0
202212201.0,2022-12-20,1243.0,Tyus Jones,MEM,DEN,0.0,29.91666666666667,5.0
202212201.0,2022-12-20,1400.0,David Roddy,MEM,DEN,0.0,22.98333333333333,8.0
202212201.0,2022-12-20,1493.0,Ziaire Williams,MEM,DEN,0.0,16.533333333333335,2.0
202212201.0,2022-12-20,1088.0,Brandon Clarke,MEM,DEN,0.0,16.05,10.0
202212201.0,2022-12-20,1004.0,Santi Aldama,MEM,DEN,0.0,14.05,6.0
202212201.0,2022-12-20,,Xavier Tillman Sr.,MEM,DEN,0.0,1.8666666666666667,2.0
202212201.0,2022-12-20,1085.0,Kennedy Chandler,MEM,DEN,0.0,1.8666666666666667,0.0
202212201.0,2022-12-20,1266.0,Jake LaRavia,MEM,DEN,0.0,1.8666666666666667,0.0
202212201.0,2022-12-20,1075.0,Kentavious Caldwell-Pope,DEN,MEM,0.0,37.65,12.0
202212201.0,2022-12-20,,Nikola Jokić,DEN,MEM,0.0,37.083333333333336,13.0
202212201.0,2022-12-20,1062.0,Bruce Brown,DEN,MEM,0.0,35.36666666666667,16.0
202212201.0,2022-12-20,1057.0,Christian Braun,DEN,MEM,0.0,28.95,13.0
202212201.0,2022-12-20,1162.0,Aaron Gordon,DEN,MEM,0.0,27.5,24.0
202212201.0,2022-12-20,1172.0,Jeff Green,DEN,MEM,0.0,24.05,9.0
202212201.0,2022-12-20,,Vlatko Čančar,DEN,MEM,0.0,19.966666666666665,3.0
202212201.0,2022-12-20,1216.0,Bones Hyland,DEN,MEM,0.0,15.25,12.0
202212201.0,2022-12-20,1344.0,Zeke Nnaji,DEN,MEM,0.0,10.916666666666664,3.0
202212201.0,2022-12-20,1389.0,Davon Reed,DEN,MEM,0.0,1.6333333333333333,0.0
202212201.0,2022-12-20,1426.0,Ish Smith,DEN,MEM,0.0,1.6333333333333333,0.0
202212202.0,2022-12-20,1294.0,Lauri Markkanen,UTA,DET,1.0,35.78333333333333,38.0
202212202.0,2022-12-20,1458.0,Jarred Vanderbilt,UTA,DET,1.0,32.38333333333333,18.0
202212202.0,2022-12-20,1089.0,Jordan Clarkson,UTA,DET,1.0,29.98333333333333,21.0
202212202.0,2022-12-20,1253.0,Walker Kessler,UTA,DET,1.0,27.18333333333333,10.0
202212202.0,2022-12-20,1094.0,Mike Conley,UTA,DET,1.0,26.23333333333333,7.0
202212202.0,2022-12-20,1038.0,Malik Beasley,UTA,DET,0.0,24.93333333333333,17.0
202212202.0,2022-12-20,1153.0,Rudy Gay,UTA,DET,0.0,22.16666666666667,8.0
202212202.0,2022-12-20,1005.0,Nickeil Alexander-Walker,UTA,DET,0.0,19.116666666666667,2.0
202212202.0,2022-12-20,1018.0,Udoka Azubuike,UTA,DET,0.0,6.55,2.0
202212202.0,2022-12-20,1140.0,Simone Fontecchio,UTA,DET,0.0,5.066666666666666,0.0
202212202.0,2022-12-20,1003.0,Ochai Agbaji,UTA,DET,0.0,2.65,3.0
202212202.0,2022-12-20,1050.0,Leandro Bolmaro,UTA,DET,0.0,2.65,0.0
202212202.0,2022-12-20,1210.0,Talen Horton-Tucker,UTA,DET,0.0,2.65,0.0
202212202.0,2022-12-20,1376.0,Micah Potter,UTA,DET,0.0,2.65,0.0
202212202.0,2022-12-20,1223.0,Jaden Ivey,DET,UTA,0.0,32.833333333333336,30.0
202212202.0,2022-12-20,,Bojan Bogdanović,DET,UTA,0.0,30.95,15.0
202212202.0,2022-12-20,1130.0,Jalen Duren,DET,UTA,0.0,30.35,15.0
202212202.0,2022-12-20,1433.0,Isaiah Stewart,DET,UTA,0.0,27.466666666666665,7.0
202212202.0,2022-12-20,1195.0,Killian Hayes,DET,UTA,0.0,26.36666666666667,4.0
202212202.0,2022-12-20,1042.0,Saddiq Bey,DET,UTA,0.0,20.366666666666667,7.0
202212202.0,2022-12-20,,Kevin Knox,DET,UTA,0.0,18.55,9.0
202212202.0,2022-12-20,1020.0,Marvin Bagley III,DET,UTA,0.0,17.65,10.0
202212202.0,2022-12-20,1071.0,Alec Burks,DET,UTA,0.0,17.416666666666668,10.0
202212202.0,2022-12-20,1246.0,Cory Joseph,DET,UTA,0.0,12.75,0.0
202212202.0,2022-12-20,1115.0,Hamidou Diallo,DET,UTA,0.0,2.65,4.0
202212202.0,2022-12-20,1312.0,Rodney McGruder,DET,UTA,0.0,2.65,0.0
202212203.0,2022-12-20,1109.0,DeMar DeRozan,CHI,MIA,1.0,39.516666666666666,24.0
202212203.0,2022-12-20,,Nikola Vučević,CHI,MIA,1.0,37.28333333333333,29.0
202212203.0,2022-12-20,1267.0,Zach LaVine,CHI,MIA,1.0,36.66666666666666,21.0
202212203.0,2022-12-20,1492.0,Patrick Williams,CHI,MIA,1.0,31.8,6.0
202212203.0,2022-12-20,1082.0,Alex Caruso,CHI,MIA,1.0,22.61666666666667,7.0
202212203.0,2022-12-20,1481.0,Coby White,CHI,MIA,0.0,23.78333333333333,14.0
202212203.0,2022-12-20,,Goran Dragić,CHI,MIA,0.0,20.483333333333334,8.0
202212203.0,2022-12-20,1244.0,Derrick Jones Jr.,CHI,MIA,0.0,15.416666666666664,2.0
202212203.0,2022-12-20,1126.0,Andre Drummond,CHI,MIA,0.0,7.033333333333332,1.0
202212203.0,2022-12-20,1122.0,Ayo Dosunmu,CHI,MIA,0.0,5.383333333333334,1.0
202212203.0,2022-12-20,1199.0,Tyler Herro,MIA,CHI,0.0,42.25,19.0
202212203.0,2022-12-20,1201.0,Haywood Highsmith,MIA,CHI,0.0,40.68333333333333,18.0
202212203.0,2022-12-20,1002.0,Bam Adebayo,MIA,CHI,0.0,36.68333333333333,27.0
202212203.0,2022-12-20,1357.0,Victor Oladipo,MIA,CHI,0.0,34.23333333333333,14.0
202212203.0,2022-12-20,1434.0,Max Strus,MIA,CHI,0.0,29.35,4.0
202212203.0,2022-12-20,1395.0,Duncan Robinson,MIA,CHI,0.0,36.25,13.0
202212203.0,2022-12-20,1110.0,Dewayne Dedmon,MIA,CHI,0.0,9.966666666666667,3.0
202212203.0,2022-12-20,1074.0,Jamal Cain,MIA,CHI,0.0,7.85,3.0
202212203.0,2022-12-20,1397.0,Orlando Robinson,MIA,CHI,0.0,1.35,2.0
202212203.0,2022-12-20,,Nikola Jović,MIA,CHI,0.0,1.35,0.0
202212204.0,2022-12-20,1326.0,Moses Moody,GSW,NYK,1.0,31.68333333333333,11.0
202212204.0,2022-12-20,1370.0,Jordan Poole,GSW,NYK,1.0,29.0,26.0
202212204.0,2022-12-20,1445.0,Klay Thompson,GSW,NYK,1.0,26.43333333333333,11.0
202212204.0,2022-12-20,1168.0,Draymond Green,GSW,NYK,1.0,26.05,7.0
202212204.0,2022-12-20,1283.0,Kevon Looney,GSW,NYK,1.0,20.83333333333333,2.0
202212204.0,2022-12-20,1264.0,Jonathan Kuminga,GSW,NYK,0.0,26.86666666666667,13.0
202212204.0,2022-12-20,1230.0,Ty Jerome,GSW,NYK,0.0,24.18333333333333,11.0
202212204.0,2022-12-20,1499.0,James Wiseman,GSW,NYK,0.0,22.08333333333333,4.0
202212204.0,2022-12-20,1268.0,Anthony Lamb,GSW,NYK,0.0,17.533333333333335,6.0
202212204.0,2022-12-20,1021.0,Patrick Baldwin Jr.,GSW,NYK,0.0,7.666666666666668,3.0
202212204.0,2022-12-20,1401.0,Ryan Rollins,GSW,NYK,0.0,7.666666666666668,0.0
202212204.0,2022-12-20,1176.0,Quentin Grimes,NYK,GSW,0.0,31.66666666666667,19.0
202212204.0,2022-12-20,1031.0,RJ Barrett,NYK,GSW,0.0,31.11666666666667,18.0
202212204.0,2022-12-20,1386.0,Julius Randle,NYK,GSW,0.0,29.95,15.0
202212204.0,2022-12-20,1068.0,Jalen Brunson,NYK,GSW,0.0,29.66666666666667,21.0
202212204.0,2022-12-20,1396.0,Mitchell Robinson,NYK,GSW,0.0,28.98333333333333,9.0
