player,player_id,team,number,position
Greg Brown III,1066,POR,4.0,F
Troy Brown Jr.,1067,LAL,7.0,G-F
Jalen Brunson,1068,NYK,11.0,G
Thomas Bryant,1069,LAL,31.0,C-F
Reggie Bullock,1070,DAL,25.0,G-F
Alec Burks,1071,DET,5.0,G
Jimmy Butler,1072,MIA,22.0,F
John Butler Jr.,1073,POR,21.0,F
Jamal Cain,1074,MIA,8.0,F
Kentavious Caldwell-Pope,1075,DEN,5.0,G
Facundo Campazzo,1076,,,G
Vlatko Cancar,1077,DEN,31.0,F
Clint Capela,1078,ATL,15.0,C
Vernon Carey Jr.,1079,WAS,13.0,F-C
Jevon Carter,1080,MIL,5.0,G
Wendell Carter Jr.,1081,ORL,34.0,C-F
Alex Caruso,1082,CHI,6.0,G
Julian Champagnie,1083,PHI,55.0,F
Justin Champagnie,1084,TOR,11.0,G-F
Kennedy Chandler,1085,MEM,1.0,G
Max Christie,1086,LAL,10.0,G
Josh Christopher,1087,HOU,9.0,G
Brandon Clarke,1088,MEM,15.0,F
Jordan Clarkson,1089,UTA,0.0,G
Nic Claxton,1090,BKN,33.0,C
Amir Coffey,1091,LAC,7.0,G-F
John Collins,1092,ATL,20.0,F-C
Zach Collins,1093,SAS,23.0,F-C
Mike Conley,1094,UTA,11.0,G
Pat Connaughton,1095,MIL,24.0,G
Robert Covington,1096,LAC,23.0,F
Torrey Craig,1097,PHX,0.0,F
Jae Crowder,1098,PHX,99.0,F
Jarrett Culver,1099,ATL,7.0,G-F
Cade Cunningham,1100,DET,2.0,G
Seth Curry,1101,BKN,30.0,G
Stephen Curry,1102,GSW,30.0,G
Dyson Daniels,1103,NOP,11.0,G
Anthony Davis,1104,LAL,3.0,F-C
Johnny Davis,1105,WAS,1.0,G
Terence Davis,1106,SAC,3.0,G
JD Davison,1107,BOS,20.0,G
Darius Days,1108,HOU,5.0,F
DeMar DeRozan,1109,CHI,11.0,G-F
Dewayne Dedmon,1110,MIA,21.0,C
Matthew Dellavedova,1111,SAC,8.0,G
Donte DiVincenzo,1112,GSW,0.0,G
Moussa Diabate,1113,LAC,25.0,F
Mamadi Diakite,1114,CLE,21.0,F
Hamidou Diallo,1115,DET,6.0,G
Gorgui Dieng,1116,SAS,41.0,C
Ousmane Dieng,1117,OKC,13.0,F
Spencer Dinwiddie,1118,DAL,26.0,G
Luka Dončić,1119,DAL,77.0,F-G
Tyler Dorsey,1120,DAL,22.0,G
Luguentz Dort,1121,OKC,5.0,G
Ayo Dosunmu,1122,CHI,12.0,G
Devon Dotson,1123,WAS,3.0,G
Jeff Dowtin Jr.,1124,TOR,20.0,G
Goran Dragic,1125,CHI,7.0,G
Andre Drummond,1126,CHI,3.0,C
Chris Duarte,1127,IND,3.0,G
David Duke Jr.,1128,BKN,6.0,G
Kevin Durant,1129,BKN,7.0,F
Jalen Duren,1130,DET,0.0,C
Tari Eason,1131,HOU,17.0,F
Anthony Edwards,1132,MIN,1.0,G
Kessler Edwards,1133,BKN,14.0,F
Keon Ellis,1134,SAC,23.0,G
Joel Embiid,1135,PHI,21.0,C-F
Drew Eubanks,1136,POR,24.0,F-C
Bruno Fernando,1137,HOU,20.0,F-C
Dorian Finney-Smith,1138,DAL,10.0,F
Malachi Flynn,1139,TOR,22.0,G
Simone Fontecchio,1140,UTA,16.0,F
Bryn Forbes,1141,MIN,10.0,G
Trent Forrest,1142,ATL,2.0,G
Michael Foster Jr.,1143,,,F
Evan Fournier,1144,NYK,13.0,G-F
De'Aaron Fox,1145,SAC,5.0,G
Markelle Fultz,1146,ORL,20.0,G
Wenyen Gabriel,1147,LAL,35.0,F
Daniel Gafford,1148,WAS,21.0,F-C
Danilo Gallinari,1149,BOS,8.0,F
Darius Garland,1150,CLE,10.0,G
Usman Garuba,1151,HOU,16.0,F
Luka Garza,1152,MIN,55.0,C
Rudy Gay,1153,UTA,22.0,F-G
Paul George,1154,LAC,13.0,F
Taj Gibson,1155,WAS,67.0,F
Josh Giddey,1156,OKC,3.0,G
Shai Gilgeous-Alexander,1157,OKC,2.0,G
Anthony Gill,1158,WAS,16.0,F
Collin Gillespie,1159,DEN,21.0,G
Rudy Gobert,1160,MIN,27.0,C
Jordan Goodwin,1161,WAS,7.0,G
Aaron Gordon,1162,DEN,50.0,F
Eric Gordon,1163,HOU,10.0,G
Devonte' Graham,1164,NOP,4.0,G
Jerami Grant,1165,POR,9.0,F
AJ Green,1166,MIL,20.0,G
Danny Green,1167,MEM,14.0,G
Draymond Green,1168,GSW,23.0,F
JaMychal Green,1169,GSW,1.0,F-C
Jalen Green,1170,HOU,4.0,G
Javonte Green,1171,CHI,24.0,G-F
Jeff Green,1172,DEN,32.0,F
Josh Green,1173,DAL,8.0,G
AJ Griffin,1174,ATL,14.0,F
Blake Griffin,1175,BOS,91.0,F
Quentin Grimes,1176,NYK,6.0,G
Rui Hachimura,1177,WAS,8.0,F
Tyrese Haliburton,1178,IND,0.0,G
Jordan Hall,1179,,,G
R.J. Hampton,1180,ORL,13.0,G
Tim Hardaway Jr.,1181,DAL,11.0,G-F
James Harden,1182,PHI,1.0,G
Jaden Hardy,1183,DAL,3.0,G
Ron Harper Jr.,1184,TOR,8.0,F
Montrezl Harrell,1185,PHI,5.0,F-C
Gary Harris,1186,ORL,14.0,G
Joe Harris,1187,BKN,12.0,G-F
Kevon Harris,1188,ORL,7.0,G
Tobias Harris,1189,PHI,12.0,F
Josh Hart,1190,POR,11.0,G
Isaiah Hartenstein,1191,NYK,55.0,C-F
Udonis Haslem,1192,MIA,40.0,F
Sam Hauser,1193,BOS,30.0,F
Jaxson Hayes,1194,NOP,10.0,C-F
Killian Hayes,1195,DET,7.0,G
Gordon Hayward,1196,CHA,20.0,F
Juancho Hernangomez,1197,TOR,41.0,F
Willy Hernangomez,1198,NOP,9.0,C-F
Tyler Herro,1199,MIA,14.0,G
Buddy Hield,1200,IND,24.0,G
Haywood Highsmith,1201,MIA,24.0,F
George Hill,1202,MIL,3.0,G
Malcolm Hill,1203,CHI,14.0,F
Aaron Holiday,1204,ATL,3.0,G
Jrue Holiday,1205,MIL,21.0,G
Justin Holiday,1206,ATL,8.0,F-G
Richaun Holmes,1207,SAC,22.0,F
Chet Holmgren,1208,OKC,7.0,C-F
Al Horford,1209,BOS,42.0,C-F
Talen Horton-Tucker,1210,UTA,0.0,G
Danuel House Jr.,1211,PHI,25.0,F-G
Caleb Houstan,1212,ORL,2.0,G
Trevor Hudgins,1213,HOU,12.0,G
Kevin Huerter,1214,SAC,9.0,G-F
De'Andre Hunter,1215,ATL,12.0,F-G
Bones Hyland,1216,DEN,3.0,G
Serge Ibaka,1217,MIL,25.0,F
Andre Iguodala,1218,GSW,9.0,G-F
Joe Ingles,1219,MIL,7.0,F-G
Brandon Ingram,1220,NOP,14.0,F
Kyrie Irving,1221,BKN,11.0,G
Jonathan Isaac,1222,ORL,1.0,F
Jaden Ivey,1223,DET,23.0,G
Isaiah Jackson,1224,IND,22.0,F
Justin Jackson,1225,BOS,43.0,F
Reggie Jackson,1226,LAC,1.0,G
Jaren Jackson Jr.,1227,MEM,13.0,F-C
LeBron James,1228,LAL,6.0,F
DaQuan Jeffries,1229,NYK,8.0,G-F
Ty Jerome,1230,GSW,10.0,G-F
Isaiah Joe,1231,OKC,11.0,G
Alize Johnson,1232,SAS,24.0,F
Cameron Johnson,1233,PHX,23.0,F
Jalen Johnson,1234,ATL,1.0,F
James Johnson,1235,IND,16.0,F
Keldon Johnson,1236,SAS,3.0,F-G
Keon Johnson,1237,POR,6.0,G
Nikola Jokić,1238,DEN,15.0,C
Damian Jones,1239,LAL,30.0,C
Herbert Jones,1240,NOP,5.0,F
Kai Jones,1241,CHA,23.0,C-F
Tre Jones,1242,SAS,33.0,G
Tyus Jones,1243,MEM,21.0,G
Derrick Jones Jr.,1244,CHI,5.0,F
DeAndre Jordan,1245,DEN,6.0,C
Cory Joseph,1246,DET,18.0,G
Nikola Jovic,1247,MIA,5.0,F
Johnny Juzang,1248,UTA,33.0,G
Mfiondu Kabengele,1249,BOS,28.0,C
Frank Kaminsky,1250,ATL,0.0,F-C
Trevor Keels,1251,NYK,3.0,G
Luke Kennard,1252,LAC,5.0,G
Walker Kessler,1253,UTA,24.0,C
Braxton Key,1254,DET,8.0,F
Corey Kispert,1255,WAS,24.0,F
Maxi Kleber,1256,DAL,42.0,F
Nathan Knight,1257,MIN,13.0,F-C
Kevin Knox II,1258,DET,20.0,F
Christian Koloko,1259,TOR,35.0,C
John Konchar,1260,MEM,46.0,G
Furkan Korkmaz,1261,PHI,30.0,G-F
Luke Kornet,1262,BOS,40.0,C-F
Vit Krejci,1263,ATL,27.0,G
Jonathan Kuminga,1264,GSW,0.0,F
